real_word_len_list,fake_word_len_list,ai_word_len_list,real_sentence_len_list,fake_sentence_len_list,ai_sentence_len_list,real_article_len_list,fake_article_len_list,ai_article_len_list,real_no_verifiable_facts,fake_no_verifiable_facts,ai_no_verifiable_facts
4.0,5,2.0,2.0,7.0,23.0,6.0,28.0,26.0,13.0,11.0,10.0
4.0,3,3.0,34.0,6.0,25.0,18.0,13.0,24.0,46.0,20.0,27.0
6.0,2,8.0,19.0,35.0,18.0,18.0,24.0,25.0,51.0,38.0,19.0
3.0,10,8.0,22.0,25.0,23.0,24.0,60.0,24.0,50.0,64.0,18.0
5.0,2,9.0,11.0,9.0,31.0,28.0,56.0,30.0,50.0,108.0,22.0
9.0,5,2.0,27.0,22.0,14.0,11.0,38.0,24.0,28.0,102.0,10.0
3.0,5,6.0,38.0,67.0,13.0,22.0,33.0,23.0,56.0,90.0,5.0
3.0,6,11.0,25.0,14.0,26.0,5.0,47.0,27.0,9.0,30.0,7.0
8.0,3,9.0,15.0,37.0,29.0,18.0,46.0,22.0,38.0,109.0,21.0
10.0,3,7.0,48.0,25.0,13.0,48.0,60.0,27.0,92.0,102.0,28.0
2.0,5,3.0,18.0,11.0,29.0,6.0,47.0,20.0,11.0,58.0,11.0
6.0,2,6.0,12.0,13.0,28.0,15.0,52.0,29.0,32.0,118.0,12.0
6.0,4,6.0,17.0,19.0,9.0,19.0,36.0,30.0,7.0,57.0,9.0
4.0,5,2.0,18.0,18.0,16.0,39.0,79.0,28.0,97.0,84.0,18.0
3.0,3,6.0,30.0,48.0,22.0,4.0,56.0,30.0,8.0,227.0,13.0
3.0,1,8.0,27.0,20.0,23.0,22.0,30.0,30.0,38.0,44.0,16.0
7.0,6,3.0,40.0,15.0,21.0,34.0,36.0,26.0,79.0,46.0,15.0
4.0,1,6.0,39.0,8.0,19.0,10.0,57.0,24.0,28.0,92.0,34.0
3.0,2,2.0,25.0,19.0,35.0,6.0,41.0,28.0,6.0,53.0,9.0
7.0,3,6.0,24.0,7.0,14.0,15.0,73.0,33.0,25.0,140.0,26.0
3.0,11,10.0,24.0,33.0,18.0,24.0,67.0,25.0,23.0,98.0,24.0
7.0,6,12.0,20.0,8.0,34.0,79.0,12.0,23.0,151.0,11.0,12.0
7.0,2,4.0,42.0,22.0,17.0,5.0,45.0,23.0,12.0,92.0,18.0
3.0,3,7.0,20.0,17.0,18.0,25.0,52.0,28.0,48.0,56.0,23.0
10.0,3,1.0,15.0,21.0,27.0,20.0,54.0,24.0,25.0,99.0,25.0
2.0,9,7.0,24.0,13.0,27.0,10.0,30.0,30.0,21.0,52.0,9.0
6.0,2,2.0,32.0,23.0,39.0,12.0,21.0,26.0,38.0,51.0,30.0
8.0,1,4.0,37.0,7.0,27.0,44.0,41.0,21.0,84.0,50.0,28.0
6.0,4,3.0,36.0,26.0,28.0,30.0,35.0,24.0,69.0,80.0,19.0
3.0,1,6.0,21.0,23.0,20.0,33.0,44.0,24.0,100.0,108.0,19.0
4.0,2,4.0,10.0,14.0,30.0,13.0,57.0,29.0,31.0,121.0,15.0
13.0,8,8.0,15.0,19.0,30.0,16.0,41.0,27.0,31.0,79.0,16.0
3.0,2,4.0,4.0,53.0,32.0,5.0,68.0,25.0,10.0,91.0,23.0
10.0,5,2.0,54.0,9.0,29.0,23.0,29.0,30.0,27.0,78.0,18.0
3.0,2,2.0,31.0,58.0,15.0,14.0,40.0,25.0,44.0,65.0,26.0
2.0,4,7.0,26.0,16.0,28.0,21.0,43.0,23.0,24.0,83.0,21.0
8.0,3,2.0,26.0,8.0,19.0,12.0,71.0,26.0,21.0,157.0,18.0
3.0,7,8.0,18.0,22.0,26.0,22.0,74.0,25.0,32.0,69.0,15.0
6.0,3,11.0,36.0,19.0,19.0,7.0,57.0,21.0,13.0,83.0,14.0
9.0,9,4.0,21.0,27.0,24.0,29.0,45.0,24.0,60.0,57.0,10.0
4.0,2,5.0,21.0,1.0,32.0,10.0,72.0,31.0,33.0,98.0,25.0
3.0,1,9.0,14.0,35.0,22.0,16.0,26.0,19.0,34.0,50.0,36.0
4.0,9,3.0,49.0,37.0,34.0,31.0,50.0,26.0,59.0,102.0,20.0
6.0,1,7.0,17.0,23.0,16.0,39.0,38.0,29.0,122.0,66.0,10.0
10.0,4,8.0,25.0,40.0,40.0,23.0,39.0,27.0,35.0,51.0,6.0
3.0,7,8.0,29.0,6.0,11.0,14.0,54.0,27.0,37.0,120.0,15.0
5.0,3,4.0,15.0,34.0,27.0,27.0,35.0,28.0,60.0,10.0,17.0
3.0,3,4.0,52.0,19.0,19.0,16.0,32.0,27.0,26.0,47.0,8.0
6.0,1,9.0,45.0,46.0,28.0,6.0,33.0,27.0,10.0,59.0,24.0
2.0,6,2.0,44.0,33.0,29.0,25.0,17.0,27.0,55.0,34.0,26.0
5.0,1,2.0,26.0,22.0,28.0,9.0,39.0,27.0,23.0,42.0,17.0
1.0,3,13.0,18.0,16.0,29.0,13.0,87.0,30.0,28.0,174.0,11.0
5.0,9,4.0,18.0,32.0,25.0,12.0,50.0,28.0,21.0,78.0,10.0
6.0,3,9.0,17.0,7.0,22.0,17.0,82.0,29.0,37.0,121.0,14.0
5.0,10,10.0,47.0,25.0,27.0,9.0,60.0,21.0,10.0,75.0,11.0
16.0,3,7.0,12.0,18.0,20.0,48.0,39.0,25.0,123.0,33.0,11.0
5.0,4,6.0,41.0,11.0,26.0,5.0,63.0,23.0,15.0,139.0,10.0
2.0,3,7.0,34.0,14.0,20.0,15.0,31.0,26.0,40.0,42.0,25.0
8.0,4,3.0,33.0,23.0,19.0,11.0,41.0,28.0,27.0,77.0,10.0
3.0,1,15.0,31.0,31.0,18.0,13.0,25.0,27.0,28.0,32.0,21.0
3.0,4,7.0,19.0,49.0,23.0,34.0,63.0,27.0,92.0,109.0,13.0
5.0,1,8.0,19.0,11.0,18.0,16.0,23.0,34.0,41.0,19.0,10.0
4.0,7,8.0,37.0,45.0,28.0,17.0,55.0,33.0,34.0,57.0,22.0
6.0,2,5.0,43.0,25.0,18.0,5.0,47.0,23.0,16.0,82.0,16.0
2.0,1,4.0,11.0,28.0,20.0,19.0,34.0,24.0,44.0,39.0,18.0
3.0,9,5.0,27.0,25.0,28.0,8.0,39.0,22.0,14.0,51.0,8.0
2.0,1,3.0,57.0,12.0,21.0,27.0,61.0,23.0,73.0,127.0,26.0
17.0,2,8.0,14.0,12.0,18.0,14.0,17.0,26.0,33.0,16.0,16.0
13.0,3,7.0,28.0,47.0,21.0,15.0,77.0,22.0,44.0,89.0,22.0
4.0,10,6.0,14.0,28.0,29.0,6.0,55.0,25.0,4.0,70.0,9.0
5.0,13,3.0,25.0,16.0,31.0,19.0,25.0,18.0,43.0,21.0,20.0
5.0,11,4.0,13.0,26.0,20.0,18.0,78.0,26.0,69.0,132.0,16.0
5.0,2,2.0,13.0,15.0,28.0,33.0,44.0,24.0,55.0,101.0,24.0
2.0,10,9.0,3.0,17.0,29.0,64.0,57.0,28.0,82.0,53.0,29.0
1.0,10,4.0,5.0,12.0,30.0,89.0,37.0,22.0,147.0,73.0,12.0
2.0,9,3.0,52.0,14.0,34.0,11.0,55.0,27.0,18.0,76.0,15.0
8.0,1,3.0,18.0,8.0,23.0,15.0,48.0,25.0,53.0,76.0,20.0
1.0,1,7.0,38.0,13.0,18.0,25.0,74.0,25.0,31.0,73.0,18.0
17.0,1,12.0,70.0,42.0,14.0,7.0,47.0,26.0,6.0,88.0,16.0
6.0,8,8.0,36.0,53.0,31.0,25.0,68.0,24.0,61.0,61.0,13.0
4.0,9,4.0,20.0,13.0,21.0,13.0,16.0,29.0,43.0,25.0,16.0
11.0,2,10.0,51.0,22.0,14.0,5.0,60.0,26.0,14.0,68.0,20.0
6.0,5,10.0,30.0,32.0,30.0,26.0,41.0,27.0,47.0,82.0,15.0
4.0,7,3.0,77.0,19.0,34.0,11.0,30.0,26.0,27.0,47.0,24.0
1.0,6,9.0,55.0,16.0,19.0,32.0,57.0,24.0,93.0,96.0,14.0
2.0,1,2.0,42.0,7.0,28.0,61.0,18.0,28.0,104.0,7.0,9.0
6.0,1,7.0,16.0,28.0,19.0,35.0,37.0,24.0,67.0,63.0,11.0
2.0,4,10.0,51.0,22.0,21.0,5.0,33.0,27.0,8.0,24.0,11.0
4.0,2,8.0,25.0,27.0,21.0,20.0,24.0,22.0,51.0,54.0,26.0
3.0,3,4.0,25.0,37.0,35.0,15.0,37.0,27.0,46.0,67.0,26.0
8.0,6,2.0,24.0,16.0,16.0,6.0,46.0,26.0,11.0,149.0,22.0
2.0,2,7.0,40.0,11.0,30.0,11.0,54.0,26.0,24.0,26.0,9.0
3.0,5,5.0,48.0,9.0,22.0,7.0,35.0,30.0,13.0,40.0,17.0
6.0,1,10.0,42.0,57.0,27.0,6.0,31.0,24.0,8.0,79.0,23.0
6.0,6,6.0,19.0,19.0,15.0,12.0,28.0,23.0,22.0,24.0,25.0
1.0,1,10.0,32.0,11.0,22.0,21.0,23.0,26.0,33.0,62.0,15.0
6.0,3,3.0,42.0,15.0,28.0,7.0,33.0,28.0,11.0,66.0,21.0
4.0,4,8.0,17.0,5.0,25.0,40.0,21.0,25.0,48.0,25.0,15.0
4.0,6,4.0,52.0,21.0,26.0,11.0,63.0,35.0,25.0,78.0,12.0
3.0,1,7.0,23.0,5.0,20.0,38.0,18.0,23.0,81.0,15.0,16.0
7.0,7,4.0,42.0,34.0,28.0,,,,,,
5.0,4,5.0,21.0,83.0,12.0,,,,,,
2.0,3,5.0,26.0,12.0,18.0,,,,,,
5.0,11,3.0,32.0,20.0,18.0,,,,,,
3.0,4,4.0,33.0,34.0,28.0,,,,,,
2.0,5,4.0,19.0,51.0,23.0,,,,,,
2.0,3,10.0,14.0,33.0,17.0,,,,,,
6.0,1,7.0,18.0,11.0,22.0,,,,,,
11.0,1,7.0,37.0,24.0,15.0,,,,,,
5.0,2,4.0,43.0,17.0,9.0,,,,,,
8.0,1,12.0,47.0,33.0,16.0,,,,,,
4.0,9,4.0,19.0,9.0,17.0,,,,,,
3.0,2,12.0,40.0,18.0,33.0,,,,,,
5.0,5,10.0,33.0,41.0,13.0,,,,,,
8.0,7,3.0,23.0,11.0,20.0,,,,,,
2.0,8,5.0,38.0,9.0,18.0,,,,,,
3.0,4,5.0,37.0,7.0,24.0,,,,,,
4.0,1,5.0,42.0,4.0,12.0,,,,,,
2.0,2,10.0,26.0,13.0,23.0,,,,,,
4.0,1,11.0,30.0,25.0,25.0,,,,,,
9.0,7,5.0,38.0,16.0,12.0,,,,,,
5.0,2,3.0,22.0,25.0,15.0,,,,,,
2.0,3,5.0,28.0,11.0,32.0,,,,,,
3.0,1,5.0,30.0,30.0,25.0,,,,,,
4.0,5,11.0,28.0,19.0,16.0,,,,,,
5.0,2,8.0,25.0,47.0,28.0,,,,,,
10.0,7,3.0,22.0,25.0,9.0,,,,,,
4.0,3,5.0,22.0,44.0,35.0,,,,,,
3.0,6,7.0,20.0,36.0,31.0,,,,,,
10.0,4,5.0,32.0,57.0,29.0,,,,,,
8.0,3,5.0,17.0,30.0,35.0,,,,,,
2.0,7,10.0,14.0,42.0,20.0,,,,,,
5.0,5,8.0,31.0,12.0,29.0,,,,,,
4.0,4,12.0,26.0,10.0,17.0,,,,,,
6.0,3,10.0,14.0,15.0,21.0,,,,,,
2.0,5,4.0,26.0,21.0,22.0,,,,,,
4.0,8,2.0,13.0,23.0,21.0,,,,,,
2.0,3,2.0,24.0,16.0,21.0,,,,,,
1.0,7,6.0,26.0,11.0,25.0,,,,,,
11.0,4,8.0,28.0,11.0,26.0,,,,,,
5.0,3,2.0,33.0,20.0,29.0,,,,,,
2.0,8,12.0,27.0,26.0,29.0,,,,,,
4.0,6,5.0,32.0,25.0,18.0,,,,,,
3.0,2,5.0,15.0,12.0,21.0,,,,,,
9.0,9,11.0,11.0,21.0,26.0,,,,,,
4.0,6,3.0,14.0,20.0,9.0,,,,,,
1.0,4,5.0,58.0,11.0,22.0,,,,,,
12.0,3,6.0,16.0,32.0,29.0,,,,,,
